Statistikdatum;Totalt_antal_fall;Blekinge;Dalarna;Gotland;Gävleborg;Halland;Jämtland_Härjedalen;Jönköping;Kalmar;Kronoberg;Norrbotten;Skåne;Stockholm;Sörmland;Uppsala;Värmland;Västerbotten;Västernorrland;Västmanland;Västra_Götaland;Örebro;Östergötland
2020-02-04;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-02-26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2020-02-27;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-02-28;8;0;0;0;0;0;0;1;0;0;0;0;2;0;2;0;0;0;0;3;0;0
2020-02-29;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0
2020-03-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-02;5;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3;0;0
2020-03-03;13;0;0;0;0;0;0;0;0;0;0;1;10;0;0;0;0;0;0;2;0;0
2020-03-04;29;0;0;0;0;0;0;0;0;0;0;7;21;0;0;0;0;0;0;1;0;0
2020-03-05;25;0;0;0;0;0;0;0;0;0;0;0;22;0;2;0;0;0;0;1;0;0
2020-03-06;60;0;0;0;2;0;0;0;0;0;0;8;36;0;1;11;0;0;0;1;1;0
2020-03-07;33;0;0;0;0;0;0;0;0;0;0;5;21;0;1;0;0;0;0;5;1;0
2020-03-08;46;0;0;0;0;1;0;2;0;0;0;0;29;0;1;0;0;0;0;11;2;0
2020-03-09;101;0;0;0;0;4;0;6;0;0;1;3;64;1;0;7;0;0;0;15;0;0
2020-03-10;98;1;0;0;0;1;0;0;1;1;0;34;26;0;4;3;8;6;0;13;0;0
2020-03-11;196;6;1;2;1;16;3;16;2;7;4;37;32;6;4;2;0;0;0;57;0;0
2020-03-12;151;2;3;0;2;9;5;7;2;2;0;32;42;3;11;4;1;3;0;19;3;1
2020-03-13;152;0;1;0;1;9;3;4;0;3;1;42;31;6;10;3;0;2;5;19;2;10
2020-03-14;71;0;0;0;1;0;3;0;2;1;0;25;18;1;4;1;3;0;0;5;0;7
2020-03-15;69;1;0;0;0;2;7;4;0;1;0;4;17;4;0;1;1;0;0;18;0;9
2020-03-16;83;0;0;0;2;1;1;2;0;0;0;3;34;12;2;2;2;1;7;6;0;8
2020-03-17;120;1;3;1;4;3;0;1;0;1;1;6;35;5;5;1;4;1;6;13;16;13
2020-03-18;145;1;2;1;2;2;4;2;1;1;0;8;58;0;17;1;3;1;0;10;3;28
2020-03-19;143;0;2;1;0;2;1;2;1;1;1;2;66;5;5;0;2;0;1;14;9;28
2020-03-20;180;0;5;0;5;5;3;3;1;0;5;5;84;4;1;2;5;0;2;23;5;22
2020-03-21;134;0;0;0;4;3;14;4;1;0;3;5;71;6;2;1;0;0;0;8;0;12
2020-03-22;117;0;5;0;0;1;9;1;1;0;3;3;59;11;5;1;1;0;0;4;0;13
2020-03-23;182;0;9;0;3;4;0;2;3;0;5;7;99;2;8;2;0;2;3;9;6;18
2020-03-24;230;0;9;0;5;0;4;5;1;2;6;5;105;14;11;3;3;2;4;10;11;30
2020-03-25;314;3;13;1;7;7;2;7;2;1;5;13;154;37;15;0;4;2;3;19;8;11
2020-03-26;285;0;8;4;5;8;7;9;6;2;3;7;132;16;12;0;3;3;5;20;6;29
2020-03-27;366;2;15;1;9;3;3;15;5;4;4;10;176;26;20;1;2;2;11;18;6;33
2020-03-28;301;0;6;0;12;6;8;9;1;2;4;2;147;9;7;3;5;2;3;25;8;42
2020-03-29;281;4;10;0;11;2;2;8;1;4;2;3;150;4;11;1;1;9;0;15;3;40
2020-03-30;414;0;9;0;10;5;2;15;3;1;5;5;169;60;22;1;7;6;23;27;17;27
2020-03-31;474;1;22;1;14;7;1;16;2;5;6;7;209;49;15;0;8;13;10;29;11;48
2020-04-01;485;5;19;0;30;4;0;13;5;1;5;8;206;49;24;2;5;2;11;28;5;63
2020-04-02;555;3;6;0;17;9;3;32;5;7;8;8;216;34;28;0;12;1;18;49;28;71
2020-04-03;490;0;15;0;16;12;1;12;1;2;2;16;225;48;24;0;17;3;27;33;15;21
2020-04-04;81;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;1;0;0
